"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","Asking about Pondicherry kvk number","Recommended for contact number 04368 236479","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-09-01 15:26:56.557"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","asking about paddy basal fertilizers","Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-09-02 09:53:28.960"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Nutrient Management","foliar spray in bhindi","Recommended for spray 19:19:19 fertilizer  5g / lit of water","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-02 18:01:20.353"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","asking about paddy suitable varieties","recommneded for White Ponni, CO 43, CR 1009, ADT 38, TRY 1*, ASD 19, ADT (R) 44, CORH 4, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49, TNAU Rice ADT 50","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-03 16:23:54.210"
"NA","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","asking about chilli leaf curling","recommended for spray azadirachtin – 3 ml/ lit of water","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-03 17:18:50.550"
"KHARIF","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","Asked about citrus canker management","recommended for spray copper oxychloride 2.5gm + tetra cycline 1 gm /lit of water","PUDUCHERRY","PUDUCHERRY","BAHOUR","2016-09-04 08:42:40.547"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Market Information","Asking about bajra market rate","Recommended for bajra market rate theni Rs 1760-1840/quintal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-05 18:30:24.697"
"KHARIF","AGRICULTURE","Fodder Crops","fodder sorghum","Seeds","CO (FS) 29 Fodder Cholam seeds availability","recommended for contact to TNAU Department to forage crops ph 0422-6611228","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-06 09:04:20.117"
"KHARIF","AGRICULTURE","Fodder Crops","Napier Grass","Seeds","Forage seeds availability information","Recommended for contact to Department of Forage Crops, TNAU, Coimbatore 0422-6611228","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-06 09:18:28.157"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","foliar application for paddy","Recommended for spray zinc sulphate 5gm / liter of water","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-09-07 08:07:37.660"
"KHARIF","HORTICULTURE","Fruits","Banana","Nutrient Management","Banana fertilizer application","Recommended for apply 47 g urea  110 g potash /plant / up to 8 month","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-07 08:49:17.740"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","Paddy seeds availability","Recommended for contact to Department of Rice, TNAU,Coimbatore-641003 phone:0422-2474967","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-07 10:43:57.053"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot borer in brinjal","Recommended for spray profenophos 2ml + teepol 1ml + neemoil 3ml/lit of water","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-07 11:18:58.277"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","Gingee Paddy market rate","Recommended for other variety paddy Rs.1400-1785/ Quintal","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-09-07 13:56:56.593"
