"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Market Information","market rate for sesame","recommended market rate for sesame Thattanchavady 2096-5761 Rs/Quintal","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-07-01 08:34:04.320"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weed Management","asking about cotton weed management","recommended for apply  hand weeding only","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-02 10:37:29.097"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","sucking  pest management for Brinjal","recommended for the spray  Dimethoate 2ml /lit of water","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-02 18:03:54.320"
"JAYAD","AGRICULTURE","Millets","Kodo Millet (Kodara/Varagu)","Sowing Time and Weather","sowing season for Varagu","Recommended for varagu sowing season  July-August","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-07-02 19:56:51.573"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Bhendi in semilooper","Recommended for spray profenophos 2 ml+ Teepol 1 ml/litre of water.","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-02 20:33:39.643"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","	Plant Protection	","sucking pest control in tapioca","recommended for Spray imidaclopride 0.6 ml/lit of water","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-03 14:07:44.377"
"JAYAD","AGRICULTURE","Others","Others","Weather","Coimbatore Weather report information","recommended for today have a light rain day","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-03 14:35:40.903"
"JAYAD","HORTICULTURE","Plantation Crops","Teak","Nutrient Management","Casuarina top fertilizer management","Recommended for apply urea 10 kg + super phosphate 30 kg + potash 20 kg/ac","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-07-03 14:39:41.753"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","Nutrient Management","Growth regulator spray for Black gram","Recommended for spray Pulse wonder- 2kg  + 200 litre of water/acre","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-04 09:09:38.133"
"KHARIF","HORTICULTURE","Fruits","Aonla","	Plant Protection	","Plant growth regulator in anola","Recommended for spray Brassinolide 0.5 ml/litre of water.","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-04 18:04:34.410"
"JAYAD","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","panchakavya preparation information","recommended for cow dung 5 kg + cow urine 3 litre + toddy 2 litre + banana 12 + butter milk 3 litre + cane juice 3 litre +milk 3 litre + tender coconut 3 litre  mix well after 15 to 20 days it will be ready","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-04 19:13:18.083"
"JAYAD","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","amirtha  karaisal preparation","recommended for cowdung 10 kg + cow urine 10 kg + 100 litre of water + 250 gm jaggery / 1 litre karaisal  + 9 litre water mixed well to spray","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-04 19:27:28.327"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","asking about nematode in paddy","Recommended for apply carbofuran 3 - 5kg /ac","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-05 18:07:19.133"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","asking about need for brinjal","recommended for contact with Department of Vegetable Crops,TNAU, Coimbatore, phone; 0422-6611374","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-07-05 18:30:18.227"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Nutrient Management","asking about Sesamum MN deficiency information","Recommended for spray zinc sulphate 5 g / liter of water","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-06 11:28:03.547"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Crop loan  details","recommended for the contact near  bank","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-06 13:24:52.467"
