"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","Rainfall forecast for karaikal District","Recommended for  Rainfall forecast of Karaikal District Today: No Rain Fall (0.0 mm)","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-01-01 11:41:03.767"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","paddy brown leaf hopper control using water management","recommended for Drain the water before use of insecticides.","PUDUCHERRY","KARAIKAL","Thirunallar","2016-01-01 17:27:42.460"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer management in paddy","Recommended for spray chlorpyriphos 2 ml / lit of water","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-01-03 12:33:57.840"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","Recommended for today have no rainfall.","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-01-04 13:43:10.437"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","black gram pest management details","recommended for spray profenophos 2 ml / lit of water.","PUDUCHERRY","KARAIKAL","Kottucherry","2016-01-04 18:54:56.870"
"RABI","AGRICULTURE","Others","Others","Weather","weather detail for karaikal dist","date from 6 to 7 have no rain","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-01-06 11:45:18.730"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report for karaikal district","Recommended for weather report today no rain(0mm)","PUDUCHERRY","KARAIKAL","Thirunallar","2016-01-11 12:15:57.197"
"RABI","AGRICULTURE","Others","Others","Weather","puducherry weather report details","recommended for tomorrow no rain .","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-01-11 19:21:19.160"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","Recommended for today have no rainfall.","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-01-11 19:22:23.250"
"RABI","HORTICULTURE","Vegetables","Watermelon","Seeds and Planting Material","Watermelon season and varieties","Recommended for Varieties: Sugar Baby and Arka Manik,PKM 1Hybrids: Arka Jyoti and Pusa Bedana.","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-01-12 19:44:46.027"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Seeds","Greengram varieties for masipattam","Recommended for varieties are Co 6, VBN(Gg) 3","PUDUCHERRY","KARAIKAL","Nedungadu","2016-01-12 19:49:29.460"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy fertilizer management","Recommended for apply ammonium sulphate 30kg / ac","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-01-14 11:09:56.480"
