Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
KHARIF,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Market Information,market rate for sesame,recommended market rate for sesame Thattanchavady 2096-5761 Rs/Quintal,PUDUCHERRY,PUDUCHERRY,VILLIANUR,34:04.3
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weed Management,asking about cotton weed management,recommended for apply  hand weeding only,PUDUCHERRY,PUDUCHERRY,NETTAPAKKAM,37:29.1
JAYAD,HORTICULTURE,Vegetables,Brinjal,Fertilizer Use and Availability,sucking  pest management for Brinjal,recommended for the spray  Dimethoate 2ml /lit of water,PUDUCHERRY,PUDUCHERRY,MANNADIPET,03:54.3
JAYAD,AGRICULTURE,Millets,Kodo Millet (Kodara/Varagu),Sowing Time and Weather,sowing season for Varagu,Recommended for varagu sowing season  July-August,PUDUCHERRY,PUDUCHERRY,VILLIANUR,56:51.6
JAYAD,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),"	Plant Protection	",Bhendi in semilooper,Recommended for spray profenophos 2 ml+ Teepol 1 ml/litre of water.,PUDUCHERRY,PUDUCHERRY,NETTAPAKKAM,33:39.6
JAYAD,AGRICULTURE,Sugar and Starch Crops,Tapioca (Cassava),"	Plant Protection	",sucking pest control in tapioca,recommended for Spray imidaclopride 0.6 ml/lit of water,PUDUCHERRY,PUDUCHERRY,PUDUCHERRY,07:44.4
JAYAD,AGRICULTURE,Others,Others,Weather,Coimbatore Weather report information,recommended for today have a light rain day,PUDUCHERRY,PUDUCHERRY,NETTAPAKKAM,35:40.9
JAYAD,HORTICULTURE,Plantation Crops,Teak,Nutrient Management,Casuarina top fertilizer management,Recommended for apply urea 10 kg + super phosphate 30 kg + potash 20 kg/ac,PUDUCHERRY,PUDUCHERRY,VILLIANUR,39:41.8
JAYAD,AGRICULTURE,Pulses,Black Gram (urd bean),Nutrient Management,Growth regulator spray for Black gram,Recommended for spray Pulse wonder- 2kg  + 200 litre of water/acre,PUDUCHERRY,PUDUCHERRY,MANNADIPET,09:38.1
KHARIF,HORTICULTURE,Fruits,Aonla,"	Plant Protection	",Plant growth regulator in anola,Recommended for spray Brassinolide 0.5 ml/litre of water.,PUDUCHERRY,PUDUCHERRY,MANNADIPET,04:34.4
